ID,Country,City,Phase,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Source2,Reference
9491,CN,Guiyang,,Line 1 Phase 1,2013,2017,0,34.3,84.55%,29,5.14,0.348,25,,Media,"19,370",CNY,2010,0.3003905077,5818.564133,169.6,0,0,0,0,Media,https://zh.wikipedia.org/wiki/%E8%B4%B5%E9%98%B3%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A1%E5%8F%B7%E7%BA%BF
9492,CN,Wuhan,Line 4,Line 4 Phase 1,2009,,0,15.4,100.00%,15.4,0,0,15,,Media,"9,400",CNY,2009,0.3173595684,2983.179943,193.7,0,0,0,0,Plan,https://zh.wikipedia.org/wiki/%E6%AD%A6%E6%B1%89%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A4%E5%8F%B7%E7%BA%BF#%E4%B8%80%E6%9C%9F%E5%B7%A5%E7%A8%8B
9493,CN,Chengdu,Line 8,Line 8 Phase 1,2016,2020,0,27.4,100.00%,27.4,0,0,22,,Plan,"21,863",CNY,2016,0.2507,5480.822261,200.0,0,0,0,0,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201607/t20160715_1146086.html
9494,CN,Chengdu,,Line 9 Phase 1,2016,2020,0,22.2,100.00%,22.2,0,0,13,,Plan,"20,253",CNY,2017,0.2390,4840.605234,218.0,0,0,0,0,Plan,https://www.chengdurail.com/detail/7247.html
9499,CN,Chengdu,Line 10,Line 10 Phase 2,2016,2029,0,26.7,38.95%,10.4,16.554,0,9,,Plan,"13,156",CNY,2016,0.2507,3298.069692,123.5,0,0,0,0,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201607/W020190910671924062945.pdf
9500,TR,Istanbul,M3,M3 Phase 2,2015,2023,0,8.9,100.00%,8.4,0,0,8,180,Plan,333,USD,2019,3,999,112.2,1,8.9,8.4,0,Plan,https://ekap.kik.gov.tr/EKAP/Ortak/IhaleArama/index.html
9501,TR,Istanbul,M4,M4 Phase 3,2015,2022,0,7.5,100.00%,7.5,0,0,4,180,Plan,170,EUR,2018,3,510,68.0,1,7.5,7.5,0,Plan,https://www.metro.istanbul/Hatlarimiz/ProjeHalindekiHatlar?projeInsaat=0&q=36
9502,TR,Istanbul,,M8,2016,2022,0,14.3,100.00%,14.3,0,0,11,100,Plan,635,USD,2019,3,1905,133.2,1,14.3,14.3,0,Plan,https://ekap.kik.gov.tr/EKAP/Ortak/IhaleArama/index.html
9507,TR,Istanbul,,M5 Phase 2-M13,2016,2027,0,17.8,100.00%,17.8,0,0,13,140,Plan,657,USD,2019,3,1971,110.7,1,17.8,17.8,0,Plan,https://ekap.kik.gov.tr/EKAP/Ortak/IhaleArama/index.html
9508,TR,Istanbul,,M12,2017,2023,0,13,100.00%,13,0,0,11,100,Plan,698,USD,2020,3.3,2303.4,177.2,1,13,13,0,Plan,https://ekap.kik.gov.tr/EKAP/Ortak/IhaleArama/index.html
9509,TR,Istanbul,M11,M11 Phase 1,2016,2022,0,37.5,100.00%,37.5,0,0,9,180,Plan,"1,130",USD,2019,3,3390,90.4,1,37.5,37.5,0,Media,https://www.insaatderyasi.com/gayrettepe-3-havalimani-metro-ihalesine-1-milyar-euro-1718h.htm
